variable,group1,group2,meandiff,p_adj,lower,upper,reject
ancho_bulbo_mm,AJO CANETANO,INIA 104 BLANCO,8.3053,0.0031,2.6585,13.952,True
ancho_bulbo_mm,AJO CANETANO,INIA 105 DONAJUS,-2.6588,0.605,-8.3055,2.988,False
ancho_bulbo_mm,AJO CHINO,AJO KIYAN,-5.5287,0.0564,-11.1755,0.118,False
ancho_bulbo_mm,AJO CHINO,INIA 104 BLANCO,4.627,0.1357,-1.0198,10.2738,False
ancho_bulbo_mm,AJO CHINO,INIA 105 DONAJUS,-6.337,0.0245,-11.9838,-0.6902,True
ancho_bulbo_mm,AJO KIYAN,INIA 104 BLANCO,10.1558,0.0005,4.509,15.8025,True
ancho_bulbo_mm,AJO KIYAN,INIA 105 DONAJUS,-0.8083,0.9913,-6.455,4.8385,False
ancho_bulbo_mm,INIA 104 BLANCO,INIA 105 DONAJUS,-10.964,0.0002,-16.6108,-5.3172,True
num_dientes,AJO CANETANO,AJO CHINO,-0.625,0.9482,-3.3006,2.0506,False
num_dientes,AJO CANETANO,AJO KIYAN,0.925,0.8199,-1.7506,3.6006,False
num_dientes,AJO CANETANO,INIA 104 BLANCO,4.1,0.0021,1.4244,6.7756,True
num_dientes,AJO CANETANO,INIA 105 DONAJUS,2.875,0.0324,0.1994,5.5506,True
num_dientes,AJO CHINO,AJO KIYAN,1.55,0.4147,-1.1256,4.2256,False
num_dientes,AJO CHINO,INIA 104 BLANCO,4.725,0.0005,2.0494,7.4006,True
num_dientes,AJO CHINO,INIA 105 DONAJUS,3.5,0.0081,0.8244,6.1756,True
num_dientes,AJO KIYAN,INIA 104 BLANCO,3.175,0.0167,0.4994,5.8506,True
num_dientes,AJO KIYAN,INIA 105 DONAJUS,1.95,0.2145,-0.7256,4.6256,False
num_dientes,INIA 104 BLANCO,INIA 105 DONAJUS,-1.225,0.6287,-3.9006,1.4506,False
ancho_bulbo_mm_clasif,AJO CANETANO,AJO CHINO,3.675,0.3237,-2.0728,9.4228,False
ancho_bulbo_mm_clasif,AJO CANETANO,AJO KIYAN,-1.925,0.8358,-7.6728,3.8228,False
ancho_bulbo_mm_clasif,AJO CANETANO,INIA 104 BLANCO,8.275,0.0037,2.5272,14.0228,True
ancho_bulbo_mm_clasif,AJO CANETANO,INIA 105 DONAJUS,-2.7,0.607,-8.4478,3.0478,False
ancho_bulbo_mm_clasif,AJO CHINO,AJO KIYAN,-5.6,0.0579,-11.3478,0.1478,False
ancho_bulbo_mm_clasif,AJO CHINO,INIA 104 BLANCO,4.6,0.1499,-1.1478,10.3478,False
ancho_bulbo_mm_clasif,AJO CHINO,INIA 105 DONAJUS,-6.375,0.0264,-12.1228,-0.6272,True
ancho_bulbo_mm_clasif,AJO KIYAN,INIA 104 BLANCO,10.2,0.0005,4.4522,15.9478,True
ancho_bulbo_mm_clasif,AJO KIYAN,INIA 105 DONAJUS,-0.775,0.993,-6.5228,4.9728,False
ancho_bulbo_mm_clasif,INIA 104 BLANCO,INIA 105 DONAJUS,-10.975,0.0002,-16.7228,-5.2272,True
