variable,n_obs,gl_tratamiento,F_tratamiento,p_tratamiento,significativo_tratamiento_p_lt_0_05,gl_bloque,F_bloque,p_bloque,significativo_bloque_p_lt_0_05
peso_bulbo_gr,20,4.0,11.645211667028962,0.0004263824958795933,True,3.0,0.2164778433033563,0.8830752103943752,False
peso_muestra_total_g,20,4.0,11.64521166702895,0.0004263824958795954,True,3.0,0.21647784330335593,0.8830752103943755,False
ancho_bulbo_mm,20,4.0,10.715275873475765,0.0006229151419470669,True,3.0,0.3789725093618576,0.7699219544980995,False
ancho_bulbo_mm_clasif,20,4.0,10.392765755804778,0.0007145203253213734,True,3.0,0.3781393144842815,0.7704942184586206,False
longitud_bulbo_mm,20,4.0,10.38831884638655,0.0007158889617424186,True,3.0,0.7952284989418955,0.5198005203515885,False
num_dientes,20,4.0,10.343484690803532,0.0007298596319734368,True,3.0,0.9345456537218605,0.45412451360532424,False
peso_muestra_com_g,20,4.0,8.361361784059653,0.0018356860913037825,True,3.0,0.10073077743560521,0.958052132040065,False
num_hojas,20,4.0,6.04072718687285,0.006687429510429879,True,3.0,3.8349663558021576,0.03888387240517744,True
peso_parcela_comercial_g_est,20,4.0,2.3845713205853833,0.10938541093716345,False,3.0,2.123422319728148,0.1505689459600479,False
rendimiento_comercial_tn_ha,20,4.0,2.3845713205853833,0.10938541093716345,False,3.0,2.1234223197281477,0.15056894596004802,False
prop_comercial_peso_muestra,20,4.0,2.2528869676139975,0.12399673267144874,False,3.0,0.0811982908028237,0.968990314204829,False
n_com_muestreo,20,4.0,2.0050251256281437,0.15784481338930642,False,3.0,0.12060301507537742,0.946209643729553,False
prop_comercial_n_muestreo,20,4.0,2.0050251256281437,0.15784481338930642,False,3.0,0.12060301507537735,0.9462096437295535,False
peso_parcela_total_g_obs,20,4.0,1.631001632320233,0.23007966293608045,False,3.0,3.0165879341086175,0.07182221720285446,False
rendimiento_total_tn_ha,20,4.0,1.6310016323202334,0.23007966293608045,False,3.0,3.0165879341086193,0.07182221720285438,False
peso_conto_gr,20,4.0,0.8782731027227144,0.5053366249245045,False,3.0,3.178168537922183,0.06333348800999873,False
