,AJO CANETANO,AJO CHINO,AJO KIYAN,INIA 104 BLANCO,INIA 105 DONAJUS
AJO CANETANO,0.0,3.7661038607099226,5.519201521244028,6.15849698413417,4.92441631413567
AJO CHINO,3.7661038607099226,0.0,6.576746147583761,4.855741337702985,6.639465397579455
AJO KIYAN,5.519201521244028,6.576746147583761,0.0,9.024345797049877,3.7027855202742086
INIA 104 BLANCO,6.15849698413417,4.855741337702985,9.024345797049877,0.0,9.333496819078784
INIA 105 DONAJUS,4.92441631413567,6.639465397579455,3.7027855202742086,9.333496819078784,0.0
