tratamiento_nombre,PC1,PC2
AJO CANETANO,0.16132684385905666,-1.8036921845610305
AJO CHINO,2.0562349346337263,-0.8966242954788124
AJO KIYAN,-3.5704594059147765,2.0125959165163145
INIA 104 BLANCO,5.213329282362279,1.3197883990322934
INIA 105 DONAJUS,-3.860431654940285,-0.6320678355087642
