variable,PC1,PC2
n_com_muestreo,0.2596983869986971,-0.280832464229914
prop_comercial_n_muestreo,0.259698386998697,-0.28083246422991365
peso_conto_gr,0.22406292284214802,-0.12325146601454759
peso_muestra_total_g,0.25208031169673883,0.2622573164458615
peso_muestra_com_g,0.27115284873910434,0.11896385968470814
prop_comercial_peso_muestra,0.2487288536411279,-0.3361513663308603
peso_parcela_total_g_obs,0.2764122059328017,0.027270388395298686
peso_parcela_comercial_g_est,0.2828724429441397,-0.13665677688927894
rendimiento_total_tn_ha,0.27641220593280175,0.02727038839529908
rendimiento_comercial_tn_ha,0.2828724429441397,-0.13665677688927852
peso_bulbo_gr,0.25208031169673895,0.2622573164458617
num_hojas,0.006998037652162668,0.5790584286118947
longitud_bulbo_mm,0.27528931671207946,0.2077008982392805
ancho_bulbo_mm,0.28337574106643354,0.13553033297477113
num_dientes,0.05426546391041898,0.33086177984576576
ancho_bulbo_mm_clasif,0.2837422075193922,0.13131479824293382
